Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,19/12/2024,5105966438,LendLease Construction(EUROPE) Ltd,"£4,186,182.22"
Manchester City Council,1023,Collection Fund,Levies,20/12/2024,1908437079,GMCA,"£4,184,241.00"
Manchester City Council,1024,General Fund,Levies,13/12/2024,1908437033,GMCA,"£4,028,900.00"
Manchester City Council,1024,General Fund,BRP Top Up Payments,19/12/2024,1908456866,DCLG,"£3,996,234.00"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,19/12/2024,5105964839,Wates Construction Ltd,"£2,848,766.58"
Manchester City Council,1000,Manchester Leisure,Levies,20/12/2024,1908431711,GMCA,"£2,651,000.00"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,19/12/2024,5105967317,Allied London Campfield,"£1,750,978.05"
Manchester City Council,1000,Manchester Leisure,Special Event,18/12/2024,5105966810,Viacom International Media,"£1,750,000.00"
Manchester City Council,1011,Chief Executives,Professional fees,20/12/2024,1908681333,Manchester International Festival,"£1,733,333.33"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,12/12/2024,5105964652,Biffa Municipal Limited,"£1,417,140.78"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,05/12/2024,5105964363,Allied London Campfield,"£1,377,597.49"
Manchester City Council,1010,Housing Revenue Account,Private Finance and Public Private partnership initiatives,17/12/2024,5105966648,Renaissance Miles Platting Ltd,"£1,357,768.95"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,06/12/2024,5105964366,Bam Nuttall Ltd,"£922,595.34"
Manchester City Council,1010,Housing Revenue Account,Private Finance and Public Private partnership initiatives,24/12/2024,5105968047,S4B Limited,"£835,960.38"
Manchester City Council,1010,Housing Revenue Account,Works and associated costs for Land and Buildings,10/12/2024,5105965159,Northern Gateway (FEC) No.10 Limite,"£833,513.86"
Manchester City Council,1013,Highways Services,Private Finance and Public Private partnership initiatives,09/12/2024,5105964002,Amey Highways Lighting (Manchester),"£764,324.33"
Manchester City Council,1000,Manchester Leisure,Grant and subscriptions awarded,16/12/2024,5105965290,Manchester Active,"£754,757.67"
Manchester City Council,,Not assigned,School Pensions,06/12/2024,1908664768,Teachers Pensions Agency,"£686,593.85"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,12/12/2024,5105965449,Bowmer & Kirkland Ltd,"£649,542.89"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,19/12/2024,5105966438,LendLease Construction(EUROPE) Ltd,"£643,449.89"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,20/12/2024,5105966850,Bam Nuttall Ltd,"£608,963.79"
Manchester City Council,1000,Manchester Leisure,Responsive Repairs Work,19/12/2024,5105965293,EQUANS Regeneration Limited,"£596,841.23"
Manchester City Council,1010,Housing Revenue Account,Private Finance and Public Private partnership initiatives,09/12/2024,5105964842,Grove Village Ltd,"£554,929.04"
Manchester City Council,1005,Adult Social Care,Third party payments relating to Voluntary Organisations,23/12/2024,5105965881,Change Grow Live Services Ltd,"£544,476.36"
Manchester City Council,1007,Corporate Services,Payments to Contractors,16/12/2024,5105965033,NSL Ltd,"£543,380.06"
Manchester City Council,1004,Childrens & Education Services,Professional fees,09/12/2024,5105964469,One Education Ltd,"£500,000.00"
Manchester City Council,1009,Housing General Fund,Building Works,10/12/2024,5105964960,Mosscare Housing Ltd,"£467,178.00"
Manchester City Council,1004,Childrens & Education Services,Private Finance and Public Private partnership initiatives,11/12/2024,5105965357,Manchester School Services Limited,"£465,978.33"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,06/12/2024,5105964657,Morgan Sindall C & I Ltd,"£456,418.60"
Manchester City Council,1003,Environment and Operations,Construction Works,17/12/2024,5105965807,Kiely Bros Ltd,"£439,259.40"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,02/01/2025,5105966822,EQUANS Regeneration Limited,"£434,635.38"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,04/12/2024,5105964071,Greater Manchester Mental Health,"£401,023.00"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,16/12/2024,5105966146,Greater Manchester Mental Health,"£365,513.41"
Manchester City Council,1002,Hospitality + Trading Services,Hire of Equipment,05/12/2024,5105964300,DP Structures Ltd,"£361,670.00"
Manchester City Council,1002,Hospitality + Trading Services,Security,23/12/2024,5105966217,Showsec International Ltd,"£328,690.88"
Manchester City Council,1023,Collection Fund,Bus Rate - Preceptor,20/12/2024,1908437079,GMCA,"£322,957.00"
Manchester City Council,1007,Corporate Services,MABID,17/12/2024,5105966465,Manchester Accommodation Business,"£315,071.12"
Manchester City Council,1000,Manchester Leisure,Payments to Contractors,12/12/2024,5105964653,Biffa Municipal Limited,"£314,691.11"
Manchester City Council,1011,Chief Executives,Grant and subscriptions awarded,17/12/2024,5105963984,National Football Museum,"£312,500.00"
Manchester City Council,1012,Regeneration Finance,Grant and subscriptions awarded,13/12/2024,5105965299,Career Connect,"£290,000.00"
Manchester City Council,1004,Childrens & Education Services,Transport Coach Hire,19/12/2024,5105967332,APTSL,"£285,130.85"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,06/01/2025,5105965620,Warden Construction Ltd,"£272,354.45"
Manchester City Council,1004,Childrens & Education Services,Grant and subscriptions awarded,23/12/2024,5105967860,Rochdale MBC,"£266,365.00"
Manchester City Council,1013,Highways Services,Electricity,12/12/2024,1908671176,Haven Power Ltd,"£260,328.90"
