Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1023,Collection Fund,Levies,20/02/2025,1908437075,GMCA,"£4,184,241.00"
Manchester City Council,1024,General Fund,BRP Top Up Payments,19/02/2025,1908456870,DCLG,"£3,996,234.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,20/02/2025,5105976522,LendLease Construction(EUROPE) Ltd,"£3,080,121.58"
Manchester City Council,1000,Manchester Leisure,Levies,20/02/2025,1908431720,GMCA,"£2,651,000.00"
Manchester City Council,1004,Childrens & Education Services,Third party payments to other Local Authorities,28/02/2025,5105973812,The Manchester College,"£2,230,150.76"
Manchester City Council,1009,Housing General Fund,Works and associated costs for Land and Buildings,24/02/2025,5105975731,Wates Construction Ltd,"£2,109,103.66"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,14/02/2025,1908733420,MLP Law Limited,"£2,046,100.00"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/02/2025,1908733509,MLP Law Limited,"£2,046,100.00"
Manchester City Council,1011,Chief Executives,Building Works,27/02/2025,1908743399,Manchester Science Partnerships Ltd,"£1,350,000.00"
Manchester City Council,1011,Chief Executives,Works and associated costs for Land and Buildings,25/02/2025,5105976915,Allied London Campfield,"£1,340,880.02"
Manchester City Council,1006,Childrens Services,Works and associated costs for Land and Buildings,19/02/2025,5105974598,Kier Construction North and,"£1,306,084.83"
Manchester City Council,1000,Manchester Leisure,Refuse Collection,17/02/2025,5105974701,Biffa Municipal Limited,"£1,279,998.12"
Manchester City Council,1007,Corporate Services,I T Provision,28/02/2025,5105978122,HCL Technologies UK Limited,"£1,219,575.75"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/02/2025,5105975083,Bam Nuttall Ltd,"£1,046,334.83"
Manchester City Council,1005,Adult Social Care,Third party payments to Health Authority,05/02/2025,5105974077,Manchester Uni NHS Foundation Trust,"£1,006,993.67"
Manchester City Council,1007,Corporate Services,Works and associated costs for Land and Buildings,17/02/2025,5105974415,Morgan Sindall C & I Ltd,"£753,226.51"
