Body Name,Business Area and Description,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750845,Redacted Personal Information,"£2,652.32"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750890,Redacted Personal Information,"£2,214.92"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750761,Redacted Personal Information,"£2,106.30"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750885,Redacted Personal Information,"£2,039.00"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750865,Redacted Personal Information,"£1,989.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750757,Redacted Personal Information,"£1,805.40"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750927,Redacted Personal Information,"£1,637.20"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750923,Redacted Personal Information,"£1,637.20"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750925,Redacted Personal Information,"£1,637.20"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750916,Redacted Personal Information,"£1,637.20"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750846,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750860,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750856,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750857,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750879,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750888,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750883,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750867,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750881,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750871,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750866,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750874,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750852,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,19/03/2025,1908765127,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,19/03/2025,1908765133,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750835,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750849,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750870,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750837,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750842,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750864,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750886,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750847,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750844,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750887,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,19/03/2025,1908765141,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750841,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750868,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750882,Redacted Personal Information,"£1,609.68"
Manchester City Council,1005,Adult Social Care,Adult Placements,05/03/2025,1908750834,Redacted Personal Information,"£1,609.68"
