Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Collection Fund,Levies,20/11/2024,1908437078,GMCA,"£4,184,241.00"
Manchester City Council,General Fund,Levies,15/11/2024,1908437032,GMCA,"£4,028,900.00"
Manchester City Council,General Fund,BRP Top Up Payments,19/11/2024,1908456865,DCLG,"£3,996,234.00"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,25/11/2024,5105960586,Wates Construction Ltd,"£2,975,555.88"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,21/11/2024,5105961266,LendLease Construction(EUROPE) Ltd,"£2,852,026.40"
Manchester City Council,Manchester Leisure,Levies,20/11/2024,1908431706,GMCA,"£2,651,000.00"
Manchester City Council,Corporate Services,HH Support Fund,25/11/2024,1908644037,Post Office Ltd - Postal Order Pay,"£2,300,000.00"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,29/11/2024,5105960385,Bowmer & Kirkland Ltd,"£1,919,537.66"
Manchester City Council,Manchester Leisure,Special Event,29/11/2024,5105961790,Viacom International Media,"£1,750,000.00"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,21/11/2024,5105961744,Renaissance Miles Platting Ltd,"£1,673,139.84"
Manchester City Council,Corporate Services,AGMA Contributions,15/11/2024,5105960587,GMCA,"£1,643,000.00"
Manchester City Council,Manchester Leisure,Refuse Collection,21/11/2024,5105958127,Biffa Municipal Limited,"£1,371,426.25"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,07/11/2024,1908627143,Phoenix Ironworks Developments Ltd,"£1,350,000.00"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,12/11/2024,5105959631,The Together Trust,"£1,292,041.81"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,15/11/2024,5105959878,Bam Nuttall Ltd,"£1,231,706.55"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,07/11/2024,5105958791,Northern Gateway (FEC) No.10 Limite,"£1,194,834.02"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963144,Central Mcr Uni Hospital t/a,"£1,006,993.67"
Manchester City Council,Corporate Services,Surplus property Fees,15/11/2024,1908638063,Eversheds Sutherland International,"£1,000,580.22"
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,07/11/2024,5105957780,Amey Highways Lighting (Manchester),"£781,587.19"
Manchester City Council,Environment and Operations,Construction Works,14/11/2024,5105959871,Kiely Bros Ltd,"£766,963.43"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13/11/2024,5105959578,NHS GREATER MANCHESTER ICB,"£729,338.00"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,20/11/2024,5105961295,S4B Limited,"£707,713.12"
Manchester City Council,Not assigned,School Pensions,07/11/2024,1908628492,Teachers Pensions Agency,"£673,914.59"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963109,Central Mcr Uni Hospital t/a,"£626,779.58"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959109,EQUANS Regeneration Limited,"£596,841.23"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,21/11/2024,5105961266,LendLease Construction(EUROPE) Ltd,"£586,499.85"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960688,NSL Ltd,"£560,816.10"
Manchester City Council,Regeneration Finance,Rents,14/11/2024,1908634756,Adam Geoffrey Management Ltd,"£559,500.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962452,Change Grow Live Services Ltd,"£544,476.36"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,06/11/2024,5105958454,Grove Village Ltd,"£529,820.39"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960684,NSL Ltd,"£503,213.49"
Manchester City Council,Corporate Services,MABID,15/11/2024,5105960336,Manchester Accommodation Business,"£495,196.88"
Manchester City Council,Childrens & Education Services,Private Finance and Public Private partnership initiatives,08/11/2024,5105959105,Manchester School Services Limited,"£465,978.33"
Manchester City Council,Childrens Services,Building Works,22/11/2024,5105959872,Levenshulme High School (Academy),"£426,967.75"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,28/11/2024,5105963282,P Casey & Co Ltd,"£420,365.70"
Manchester City Council,Environment and Operations,Construction Works,06/11/2024,5105958418,J.Hopkins (Contractors) Ltd.,"£415,731.77"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,18/11/2024,5105958724,Morgan Sindall C & I Ltd,"£413,020.23"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105958321,NHS Central Manchester CCG,"£410,000.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,14/11/2024,5105960288,Electricity North West Limited,"£402,853.69"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,29/11/2024,5105961453,EQUANS Regeneration Limited,"£399,069.07"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,29/11/2024,5105963163,Central Mcr Uni Hospital t/a,"£361,021.83"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,21/11/2024,5105961869,APTSL,"£327,845.14"
Manchester City Council,Chief Executives,Grant and subscriptions awarded,29/11/2024,5105962573,Manchester International Festival,"£325,000.00"
Manchester City Council,Collection Fund,Bus Rate - Preceptor,20/11/2024,1908437078,GMCA,"£322,957.00"
Manchester City Council,Environment and Operations,Construction Works,11/11/2024,5105958478,Rosgal Ltd,"£313,349.91"
Manchester City Council,Childrens Services,Building Works,13/11/2024,5105959987,The East Manchester Academy,"£309,089.29"
Manchester City Council,Manchester Leisure,Payments to Contractors,21/11/2024,5105958128,Biffa Municipal Limited,"£304,539.78"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29/11/2024,1908656267,DAVISONS LAW,"£300,065.74"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,05/11/2024,5105958109,P Casey & Co Ltd,"£293,982.13"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,14/11/2024,5105960287,Warden Construction Ltd,"£275,611.35"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,18/11/2024,5105959115,Conlon Construction Ltd,"£265,013.25"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,12/11/2024,5105959697,APTSL,"£261,984.69"
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11/11/2024,5105957779,University Of Manchester,"£260,001.00"
Manchester City Council,Childrens Services,Building Works,29/11/2024,5105963377,Abraham Moss Comm. School Academy,"£258,505.08"
Manchester City Council,Adult Social Care,Payments for services,11/11/2024,5105958036,Big Life Centres,"£245,101.42"
Manchester City Council,Adult Social Care,Payments for services,04/11/2024,5105958037,Big Life Centres,"£245,101.42"
Manchester City Council,Highways Services,Electricity,14/11/2024,1908636280,Haven Power Ltd,"£240,540.78"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,11/11/2024,5105959289,Purcell Architecture Limited,"£239,086.50"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,28/11/2024,5105963347,Redacted Personal Information,"£236,500.00"
Manchester City Council,Corporate Services,Internal Repairs and Maintenance for buildings,28/11/2024,5105961664,EQUANS Services Limited,"£235,017.70"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29/11/2024,1908657440, Birchall Blackburn Law,"£235,000.00"
Manchester City Council,Environment and Operations,Construction Works,29/11/2024,5105961743,Rosgal Ltd,"£232,107.42"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105958874,EQUANS Regeneration Limited,"£229,414.65"
Manchester City Council,Hospitality + Trading Services,Compensation Payments,11/11/2024,1908623665,Thompsons Solicitors,"£228,787.00"
Manchester City Council,Manchester Leisure,Rents,22/11/2024,5105961955,Mack Residential Letting Ltd,"£210,580.30"
Manchester City Council,Childrens & Education Services,Payments for services,14/11/2024,5105960440,St John Vianney School,"£205,035.48"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,25/11/2024,5105960590,EQUANS Regeneration Limited,"£203,150.76"
Manchester City Council,Manchester Leisure,Rents,27/11/2024,5105962870,Mack Residential Letting Ltd,"£202,522.19"
Manchester City Council,Corporate Services,Heart of Manc Bid,29/11/2024,5105961620,Heart of Manchester BID Co Ltd,"£201,025.48"
Manchester City Council,Highways Services,Electricity,14/11/2024,1908636279,Haven Power Ltd,"£200,752.58"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,25/11/2024,5105961454,Warden Construction Ltd,"£197,819.98"
Manchester City Council,Corporate Services,Elec Car Lease,19/11/2024,1908638448,Northumbria Healthcare NHS FT,"£197,427.39"
Manchester City Council,Corporate Services,Internal Repairs and Maintenance for buildings,22/11/2024,5105961485,EQUANS Services Limited,"£195,336.32"
Manchester City Council,Adult Social Care,Payments for services,13/11/2024,5105960046,Standwalk Ltd,"£195,032.17"
Manchester City Council,Highways Services,Professional fees,14/11/2024,5105958934,Transport for Greater Manchester,"£181,918.32"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,29/11/2024,5105957859,Edstart Specialist Education Ltd,"£181,000.01"
Manchester City Council,Childrens & Education Services,Home Care ,05/11/2024,5105958088,Belmont School Ltd,"£178,818.45"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960380,EQUANS Regeneration Limited,"£178,812.85"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,28/11/2024,5105962865,Rowlinson Constructions Ltd,"£178,480.56"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,12/11/2024,5105958725,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,12/11/2024,5105959597,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,28/11/2024,5105963126,Next Energy Solutions Ltd,"£174,814.37"
Manchester City Council,Housing Revenue Account,Council Dwelling Fees,22/11/2024,5105960965,Emanuel Whittaker Ltd,"£174,637.84"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959213,EQUANS Regeneration Limited,"£173,402.64"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638670,Zeno Ltd,"£171,692.80"
Manchester City Council,Corporate Services,Elec Car Lease,01/11/2024,1908623682,Northumbria Healthcare NHS FT,"£166,732.07"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,29/11/2024,1908656279,CAPSTICKS LLP,"£165,000.00"
Manchester City Council,Childrens & Education Services,Payments for services,12/11/2024,5105959580,Hopwood Hall College,"£164,916.00"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,18/11/2024,5105959115,Conlon Construction Ltd,"£161,868.40"
Manchester City Council,Manchester Leisure,Rents,27/11/2024,5105962862,Manchester Bumblebee Ltd,"£161,421.14"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,05/11/2024,5105958216,Central Mcr Uni Hospital t/a,"£161,341.00"
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,19/11/2024,5105960970,P Casey & Co Ltd,"£161,265.52"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,11/11/2024,5105957953,Belmont School Ltd,"£160,722.09"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105960378,EQUANS Regeneration Limited,"£158,881.76"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,05/11/2024,5105958257,Westfield Minibuses,"£151,878.75"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,28/11/2024,5105960321,Redacted Personal Information,"£150,330.00"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,18/11/2024,5105959869,Warden Construction Ltd,"£149,020.18"
Manchester City Council,Childrens & Education Services,Transport Coach Hire,11/11/2024,5105959118,Westfield Minibuses,"£148,905.50"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,29/11/2024,5105961517,EQUANS Regeneration Limited,"£148,707.96"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,25/11/2024,5105960690,Alined Construction Ltd,"£144,816.70"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962456,Change Grow Live Services Ltd,"£143,766.97"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,06/11/2024,5105958322,NHS GREATER MANCHESTER ICB,"£143,612.77"
Manchester City Council,Manchester Leisure,Professional Fees,27/11/2024,5105962189,Thomasons,"£142,741.75"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960687,NSL Ltd,"£142,524.68"
Manchester City Council,Corporate Services,Payments to Contractors,18/11/2024,5105960683,NSL Ltd,"£142,524.68"
Manchester City Council,Corporate Services,Security,29/11/2024,5105962423,MITIE SECURITY LIMITED,"£141,762.42"
Manchester City Council,Corporate Services,Security,25/11/2024,5105960488,MITIE SECURITY LIMITED,"£141,489.96"
Manchester City Council,Corporate Services,Security,18/11/2024,5105960152,MITIE SECURITY LIMITED,"£140,815.59"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,07/11/2024,5105958744,VSPG Housing 2 Ltd,"£138,140.91"
Manchester City Council,Corporate Services,Preventative Maintenance Work,29/11/2024,5105962231,EQUANS Services Limited,"£136,130.57"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,21/11/2024,5105961328,Manchester Young Lives,"£130,484.00"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,29/11/2024,5105962995,Pure Innovations Ltd,"£130,042.40"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,19/11/2024,5105960955,Navigators College,"£128,191.60"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,13/11/2024,1908633100,Great Minds Together Ltd,"£127,100.00"
Manchester City Council,Environment and Operations,Construction Works,28/11/2024,5105961522,A.E Yates Ltd,"£126,799.52"
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,29/11/2024,5105961511,Robertson CE Limited,"£126,572.80"
Manchester City Council,Chief Executives,Grant and subscriptions awarded,13/11/2024,5105959881,Manchester International Festival,"£125,000.00"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,18/11/2024,5105959212,EQUANS Regeneration Limited,"£124,439.59"
Manchester City Council,Hospitality + Trading Services,Refuse Collection,11/11/2024,5105958130,Biffa Municipal Limited,"£123,720.34"
Manchester City Council,Manchester Leisure,Rents,29/11/2024,5105962451,Manchester Housing Group Ltd,"£120,262.90"
Manchester City Council,Manchester Leisure,Disposables,25/11/2024,5105962185,Redgate Holdings Ltd,"£119,876.10"
Manchester City Council,Adult Social Care,Supported Accommodation,19/11/2024,1908638670,Zeno Ltd,"£119,610.24"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,29/11/2024,5105963134,Central Mcr Uni Hospital t/a,"£117,827.78"
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,13/11/2024,5105959902,Nacro,"£117,306.00"
Manchester City Council,Manchester Leisure,Tipping - Tonnage,25/11/2024,5105962182,Redgate Holdings Ltd,"£115,271.90"
Manchester City Council,Manchester Leisure,Bed & Breakfast Acc,04/11/2024,5105957903,T15 Consultancy Ltd,"£113,657.14"
Manchester City Council,Adult Social Care,RNH Permanent Pays,22/11/2024,1908642581,Springcare (Wythenshaw) LTD,"£113,416.00"
Manchester City Council,Childrens & Education Services,Residential Care Homes Payments,11/11/2024,1908630055,Great Minds Together Ltd,"£111,500.00"
Manchester City Council,Corporate Services,Grant and subscriptions awarded,29/11/2024,5105961456,Manchester Alliance For,"£110,000.00"
