Body Name,Service Area,Expenses type,Invoice Payment Date,Transaction Number,Supplier Name,Net Amount
Manchester City Council,Collection Fund,Levies,21/10/2024,1908437074,GMCA,"£4,184,241.00"
Manchester City Council,General Fund,Levies,15/10/2023,1908437030,GMCA,"£4,028,900.00"
Manchester City Council,General Fund,BRP Top Up Payments,21/10/2024,1908456864,DCLG,"£3,996,234.00"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,22/10/2024,5105955202,LendLease Construction(EUROPE) Ltd,"£3,161,024.54"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09/10/2024,5105953776,Bam Nuttall Ltd,"£2,662,365.62"
Manchester City Council,Manchester Leisure,Levies,21/10/2024,1908431702,GMCA,"£2,651,000.00"
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,24/10/2024,5105954935,Wates Construction Ltd,"£2,081,352.58"
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,22/10/2024,5105955202,LendLease Construction(EUROPE) Ltd,"£2,026,152.37"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,30/10/2024,5105957478,Renaissance Miles Platting Ltd,"£1,983,974.05"
Manchester City Council,Manchester Leisure,Refuse Collection,17/10/2024,5105952759,Biffa Municipal Limited,"£1,417,140.78"
Manchester City Council,Housing Revenue Account,Works and associated costs for Land and Buildings,09/10/2024,5105953903,Northern Gateway (FEC) No.10 Limite,"£1,303,040.39"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,31/10/2024,5105957535,Allied London Campfield,"£1,232,031.21"
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,22/10/2024,5105954202,Bowmer & Kirkland Ltd,"£1,091,885.10"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,31/10/2024,5105954864,Central Mcr Uni Hospital t/a,"£1,006,993.67"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,25/10/2024,5105956996,S4B Limited,"£939,751.99"
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,15/10/2024,5105954885,David Lewis Organisation,"£836,943.37"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,09/10/2024,5105953964,S4B Limited,"£800,580.27"
Manchester City Council,Highways Services,Private Finance and Public Private partnership initiatives,10/10/2024,5105953699,Amey Highways Lighting (Manchester),"£798,454.38"
Manchester City Council,Regeneration Finance,General Office expenses,09/10/2024,1908593899,Bruntwood Management Services Ltd,"£764,599.70"
Manchester City Council,Not assigned,School Pensions,07/10/2024,1908597332,Teachers Pensions Agency,"£681,938.37"
Manchester City Council,Adult Social Care,Third party payments to Health Authority,31/10/2024,5105954872,Central Mcr Uni Hospital t/a,"£626,779.58"
Manchester City Council,Manchester Leisure,Responsive Repairs Work,17/10/2024,5105953683,EQUANS Regeneration Limited,"£596,841.23"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,14/10/2024,5105954511,Grove Village Ltd,"£555,417.47"
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,11/10/2024,5105954283,Grove Village Ltd,"£555,417.47"
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,31/10/2024,5105956039,Change Grow Live Services Ltd,"£544,476.36"
